iso2_code,development_status_3,distributed_year,distributed_real_cost,distributed_length,cost_per_km_distributed
IT,AE,2013,1034.8748115003534,6.5793365583691665,157.29166646505615
IT,AE,2014,626.3018327080806,3.2949209739535825,190.08098757421175
IT,AE,2015,827.4509722819256,5.027420973953583,164.58756419421448
IT,AE,2016,575.4470091298195,3.516814913347522,163.6273228215111
IT,AE,2017,623.2819120116529,4.109176024458633,151.68050925581065
IT,AE,2018,667.6853127260425,4.3130721283547375,154.80504217320785
IT,AE,2019,690.8211192660425,4.663072128354737,148.14720858924042
IT,AE,2020,690.8211192660425,4.663072128354737,148.14720858924042
IT,AE,2021,690.8211192660425,4.663072128354737,148.14720858924042
IT,AE,2022,873.2129032984425,8.546115606615606,102.17658448505921
IT,AE,2023,845.7319326035674,8.18746176046176,103.29598566037998
IT,AE,2024,1007.4733464979254,9.152864357864358,110.07191924922174
IT,AE,2025,659.9819754617477,6.478968253968254,101.8652892854538
IT,AE,2026,607.3890407124143,5.767857142857142,105.30583987583654
IT,AE,2027,516.4056383892143,3.4678571428571425,148.9120275478682
IT,AE,2028,446.9044282812143,2.9178571428571427,153.16186036565483
IT,AE,2029,446.9044282812143,2.9178571428571427,153.16186036565483
IT,AE,2030,282.3655785937143,1.342857142857143,210.27223937829785
JP,AE,2010,50.16632571428571,0.9666666666666667,51.896199014778325
JP,AE,2011,50.16632571428571,0.9666666666666667,51.896199014778325
JP,AE,2012,50.16632571428571,0.9666666666666667,51.896199014778325
JP,AE,2013,50.16632571428571,0.9666666666666667,51.896199014778325
JP,AE,2014,111.72879208095239,1.1444444444444444,97.62709987656035
JP,AE,2015,193.9678413082251,1.4171717171717173,136.8696813222686
JP,AE,2016,193.9678413082251,1.4171717171717173,136.8696813222686
JP,AE,2017,193.9678413082251,1.4171717171717173,136.8696813222686
JP,AE,2018,273.2084538082251,2.158838383838384,126.55345386367661
JP,AE,2019,273.2084538082251,2.158838383838384,126.55345386367661
JP,AE,2020,223.04212809393943,1.1921717171717172,187.08892761109936
JP,AE,2021,223.04212809393943,1.1921717171717172,187.08892761109936
JP,AE,2022,223.04212809393943,1.1921717171717172,187.08892761109936
JP,AE,2023,161.47966172727274,1.0143939393939394,159.1883147722181
JP,AE,2024,161.47966172727274,1.0143939393939394,159.1883147722181
JP,AE,2025,161.47966172727274,1.0143939393939394,159.1883147722181
JP,AE,2026,79.2406125,0.7416666666666667,106.84127528089887
JP,AE,2027,79.2406125,0.7416666666666667,106.84127528089887
JP,AE,2028,79.2406125,0.7416666666666667,106.84127528089887
JP,AE,2029,79.2406125,0.7416666666666667,106.84127528089887
KR,AE,2010,566.4082194583333,8.264484126984128,68.53521777711089
KR,AE,2011,682.0765436458333,9.864484126984127,69.1446744569262
KR,AE,2012,519.0429606458333,7.393055555555556,70.20682541142213
KR,AE,2013,519.0429606458333,7.393055555555556,70.20682541142213
KR,AE,2014,851.202582057738,10.636111111111111,80.02949322036712
KR,AE,2015,851.202582057738,10.636111111111111,80.02949322036712
KR,AE,2016,851.202582057738,10.636111111111111,80.02949322036712
KR,AE,2017,732.3280309660714,8.29861111111111,88.247059798422
KR,AE,2018,569.6080401327381,6.143055555555556,92.72389529630826
KR,AE,2019,858.4754016595238,10.928769841269842,78.55187858542872
KR,AE,2020,858.4754016595238,10.928769841269842,78.55187858542872
KR,AE,2021,795.3864905309524,10.341269841269842,76.9138125916347
KR,AE,2022,744.0847698809523,9.853769841269841,75.51270040472787
KR,AE,2023,474.5561420142857,6.898214285714286,68.79405631063939
KR,AE,2024,474.5561420142857,6.898214285714286,68.79405631063939
KR,AE,2025,474.5561420142857,6.898214285714286,68.79405631063939
KR,AE,2026,70.02045629999999,0.5125,136.62528058536586
KR,AE,2027,70.02045629999999,0.5125,136.62528058536586
KR,AE,2028,70.02045629999999,0.5125,136.62528058536586
KW,EMDE,2020,3333.3333333333335,26.666666666666668,125.0
KW,EMDE,2021,3333.3333333333335,26.666666666666668,125.0
KW,EMDE,2022,3333.3333333333335,26.666666666666668,125.0
KW,EMDE,2023,3333.3333333333335,26.666666666666668,125.0
KW,EMDE,2024,3333.3333333333335,26.666666666666668,125.0
KW,EMDE,2025,3333.3333333333335,26.666666666666668,125.0
MX,EMDE,2010,860.8664797163999,4.9,175.6870366768163
MX,EMDE,2011,860.8664797163999,4.9,175.6870366768163
MX,EMDE,2012,860.8664797163999,4.9,175.6870366768163
MX,EMDE,2014,338.538042,3.0714285714285716,110.22168809302326
MX,EMDE,2015,338.538042,3.0714285714285716,110.22168809302326
MX,EMDE,2016,338.538042,3.0714285714285716,110.22168809302326
MX,EMDE,2017,338.538042,3.0714285714285716,110.22168809302326
MX,EMDE,2018,338.538042,3.0714285714285716,110.22168809302326
MX,EMDE,2019,338.538042,3.0714285714285716,110.22168809302326
MX,EMDE,2020,338.538042,3.0714285714285716,110.22168809302326
MY,EMDE,2012,1133.1258155,8.5,133.30891947058825
