Country,City,Line,Phase,Start_year,End_year,RR,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform_length_meters,Source1,Cost,Currency,Year,PPP_rate,Real_cost,Cost_km_millions,Anglo,Inflation_index,Real_cost_2023_dollars,Cost_km_2023_dollars,Source2,Reference1,Reference2,Reference3,Comments
IN,Mumbai,Line 5,Line 5,2017,2024,0,24.9,0,0,0,0,16,NaN,Plan,84165,INR,2020,0.047,3955.755,158.8656627,0,1.17731472,4657.16859,187.0348831,Plan,https://mmrda.maharashtra.gov.in/metro-line-5#,NaN,NaN,End year: https://www.mumbailive.com/en/infrastructure/mmrda-tenders-currently-open-for-metro-line-5-7a-and-9-general-consultants-45660
IN,Mumbai,Line 6,Line 6,2017,2022,0,14.5,0,0,14.5,0,13,NaN,Wiki,55670,INR,2016,0.05,2783.5,191.9655172,0,1.269554638,3533.805335,243.7107127,Media,https://mmrda.maharashtra.gov.in/documents/10180/9283015/Metro+Line+6/17c5ed14-e9fb-4920-9521-02eebb25c4a9,NaN,NaN,"Cost: This source says 66,720, presumably in year of expenditure rupees: https://www.livemint.com/Politics/Z1VWUGDGga5lJjdm8llzKI/Mumbai-Metros-corridor-5-and-6-gets-Maharashtra-cabinet-ap.html"
IN,Mumbai,Line 7,Line 7,2016,2021,0,16.5,0,0,15.505,0.995,14,NaN,Wiki,62080,INR,2018,0.048,2979.84,180.5963636,0,1.21343491,3615.841883,219.1419323,Media,https://www.hindustantimes.com/mumbai-news/metro-lines-2a-7-to-be-delayed-by-3-months-mmrda-chief/story-UodpzX0AgmfV4e1OBrDxCK.html,NaN,NaN,NaN
IN,Mumbai,Line 7A + 9,Line 7A + 9,2019,2022,0,13.5,16,2.2,0,0,11,NaN,Plan,65180,INR,2020,0.047,3063.46,226.922963,0,1.17731472,3606.656552,267.1597446,Plan,https://mmrda.maharashtra.gov.in/metro-line-9#,NaN,NaN,"Cost: Per https://indianexpress.com/article/cities/mumbai/mumbai-work-on-second-underground-metro-line-7a-begins-6301335/ this is the cost of Line 7A, but it's really the cost of 7A and 9 bundled together."
IN,Mumbai,Line 10,Line 10,2020,2024,0,9.2,8,0.7,0,0,4,NaN,Plan,38210,INR,2018,0.048,1834.08,199.3565217,0,1.21343491,2225.5367,241.9061631,Plan,https://mmrda.maharashtra.gov.in/documents/10180/9283015/Metro+Line+10/076595c3-c882-424c-b49d-f22399e9a096,NaN,NaN,"Stations: All elevated, Cost: 44,760 in YOE rupees, mentioned e.g. at https://www.makaan.com/iq/news-views/all-about-mumbai-metro-line-10-11-and-12 and https://timesofindia.indiatimes.com/city/mumbai/mmrda-jurisdiction-to-expand-mumbai-metro-operations-corp-to-be-set-up/articleshow/66740043.cms"
IN,Mumbai,Line 11,Line 11,2020,2026,0,12.8,69,8.8,0,0,10,NaN,Plan,70850,INR,2018,0.048,3400.8,265.6875,0,1.21343491,4126.649443,322.3944877,Plan,https://mmrda.maharashtra.gov.in/documents/10180/9283015/Metro+Line+11/8dc85106-19e2-48a5-875e-acdb289c357d,NaN,NaN,"Cost: 87,390 in YOE rupees."
IN,Mumbai,Line 12,Line 12,2020,2026,0,20.8,0,0,0,0,17,NaN,Plan,47380,INR,2018,0.048,2274.24,109.3384615,0,1.21343491,2759.64221,132.6751063,Plan,https://mmrda.maharashtra.gov.in/documents/10180/9283015/Metro+Line+12/20c81fcb-0b2c-40c2-9e06-a7b4e7d46bdb,NaN,NaN,"Cost: 58,650 in YOE rupees."
GR,Athens,Line 4,Line 4,2019,2027,0,12.8,100,12.8,0,0,15,NaN,Plan,1328,EUR,2023,1.3,1726.4,134.875,0,1,1726.4,134.875,Plan,https://www.ametro.gr/?p=14801&lang=en,NaN,NaN,"Cost: Source says 1,510, but this older source says 182 is rolling stock: https://ec.europa.eu/eipp/desktop/en/projects/project-74.html This source even says 1,800, with VAT, which is close to 1,510 without: https://www.tornosnews.gr/en/transport/37308-athens-metro-line-4-to-proceed-after-appeals-are-rejected-by-top-court.html"
GR,Athens,Line 3,Line 3 to Piraeus,2012,2021,0,7.6,100,7.6,0,0,6,NaN,Plan,742,EUR,2016,1.3,964.6,126.9210526,0,1.269554638,1224.612404,161.133211,Plan,https://www.ametro.gr/wp-content/uploads/2018/08/AM_Xrimatooikonomikes_katastaseis_2017.pdf,NaN,NaN,Cost: https://www.railwaypro.com/wp/metro-line-3-extension-opened-in-athens/ mentions a 343.96 million euro bid; https://www.ametro.gr/?page_id=88 says it's a 730 million euro investment.
GR,Thessaloniki,Main line,Main line,2006,2020,0,9.5,100,9.5,0,0,13,NaN,Plan,1112,EUR,2014,1.3,1445.6,152.1684211,0,1.287096175,1860.62623,195.8553926,Plan,https://omekgroup.com.gr/projects/thessaloniki-metro/,NaN,NaN,"Cost: P. 5 of https://www.ametro.gr/wp-content/uploads/2018/08/AM_Xrimatooikonomikes_katastaseis_2017.pdf says 1,283.7 including rolling stock."
