Country,City,Trainset,Trains,Cars,Train length,Length,Decks,Seats,Top speed,Voltage,Power source,Contract year,Start year,End year,Maintenance,Manufacturer,Currency,Cost,PPP rate,Inflation index,Real cost,Cost/car,Cost/meter,Reference,Metro,,,
CN,Zhengzhou,Line 8,35,170,115,4025,1,,100,DC 1500V,Catenary,2021,2023,2024,/,CRRC Sifang,CNY,"1,253,837,000",,,,,,"https://mp.weixin.qq.com/s/eh2Yl1uXE64xWw5rG5i20g
https://mp.weixin.qq.com/s/EBw9zM9og34wQ5BHnBg2Vg",Metro,,,
CN,Guangzhou,A1,21,126,138,2898,1,,80,DC 1500V,Catenary,1994,1996,1997,0,Adtranz-Siemens,USD,"220,000,000",1,2.12,466400000,3701587.302,160938.5783,"https://archive.org/details/yulonggongwuguan0000yuba
Page 64",Metro,Chat GPT,,
CN,Guangzhou,A3,8,48,138,1104,1,,80,DC 1500V,Catenary,2004,2006,2006,0,Bombardier/CRRC Changchun ,USD,"75,000,000",1,1.56,117000000,2437500,105978.2609,"https://www.progressiverailroading.com/rail_industry_trends/news/Chinas-Guangzhou-Metro-orders-more-metro-cars-from-Bombardier-led-joint-venture--12224
https://news.ifeng.com/fawd/zhuanti/qiyeyaowen/200705/0517_1164_119849.shtml",Metro,,,
CN,Guangzhou,A8,18,108,138,2484,1,,80,DC 1500V,Catenary,2020,2021,2022,/,CRRC Changchun,CNY,"648,000,000",0.237,1.07,164326320,1521540,66153.91304,"https://mp.weixin.qq.com/s/Gt15gT4SfskihSrQVkMIng
https://mp.weixin.qq.com/s/eOZ0TfZSdFjmqBqcs_MrGg",Metro,Chat GPT,,
CN,Guangzhou,A9,55,440,183,10065,1,,80,DC 1500V,Catenary,2019,2021,2023,0,CRRC Zhuzhou,CNY,,,,,,,"https://web.archive.org/web/20220114150124/https://www.gzmtr.com/bid/bizzbgg/bid_xxjsysbzx/201905/t20190529_63074.html
https://mp.weixin.qq.com/s/kFlLEE26OKdlz4VWIv8OnQ",Metro,Chat GPT,,
CN,Guangzhou,A10,47,282,138,6486,1,,80,DC 1500V,Catenary,2019,2021,2023,17,CRRC Zhuzhou,CNY,,,,,,,"https://web.archive.org/web/20220114150124/https://www.gzmtr.com/bid/bizzbgg/bid_xxjsysbzx/201905/t20190529_63074.html
https://mp.weixin.qq.com/s/kFlLEE26OKdlz4VWIv8OnQ",Metro,Chat GPT,,
CN,Guangzhou,A11,42,336,185.6,7795.2,1,,100,DC 1500V,Catenary,2019,2021,2023,17,CRRC Zhuzhou,CNY,,,,,,,"https://web.archive.org/web/20220114150124/https://www.gzmtr.com/bid/bizzbgg/bid_xxjsysbzx/201905/t20190529_63074.html
https://mp.weixin.qq.com/s/kFlLEE26OKdlz4VWIv8OnQ",Metro,Chat GPT,,
CN,Guangzhou,B10,10,60,115,1150,1,,120,DC 1500V,Catenary,2019,2022,2023,/,CRRC Zhuzhou,CNY,,,,,,,"https://web.archive.org/web/20220114150124/https://www.gzmtr.com/bid/bizzbgg/bid_xxjsysbzx/201905/t20190529_63074.html
https://mp.weixin.qq.com/s/kFlLEE26OKdlz4VWIv8OnQ",Metro,Chat GPT,,
CN,Guangzhou, B11,13,78,115,1495,1,,120,DC 1500V,Catenary,2020,2021,2022,/,CRRC Changchun,CNY,"624,000,000",0.237,1.07,158240160,2028720,105846.2609,"https://mp.weixin.qq.com/s/Gt15gT4SfskihSrQVkMIng
https://mp.weixin.qq.com/s/eOZ0TfZSdFjmqBqcs_MrGg",Metro,Chat GPT,,
CN,Guangzhou,B12,19,114,115,2185,1,,80,DC 1500V,Catenary,2019,2023,2024,/,CRRC Zhuzhou,CNY,,,,,,,"https://web.archive.org/web/20220114150124/https://www.gzmtr.com/bid/bizzbgg/bid_xxjsysbzx/201905/t20190529_63074.html
https://mp.weixin.qq.com/s/kFlLEE26OKdlz4VWIv8OnQ",Metro,Chat GPT,,
CN,Guangzhou,B13,43,258,115,4945,1,,80,DC 1500V,Catenary,2019,2024,2025,17,CRRC Zhuzhou,CNY,,,,,,,"https://web.archive.org/web/20220114150124/https://www.gzmtr.com/bid/bizzbgg/bid_xxjsysbzx/201905/t20190529_63074.html
https://mp.weixin.qq.com/s/kFlLEE26OKdlz4VWIv8OnQ",Metro,Chat GPT,,
CN,Guangzhou,D1/D2,40,320,186.8,7472,1,,160,AC 25KV,Catenary,2019,2020,2022,17,CRRC Zhuzhou,CNY,"7,900,000,000",0.237,1.07,2003361000,6260503.125,268115.7655,"https://mp.weixin.qq.com/s/FROAP7cFU7H3qs3okMouNw
https://mp.weixin.qq.com/s/_ZpQyQxFK85tzw6rgE_1kA",Metro,Chat GPT,,
CN,Wuxi,Line 5 ,41,164,78,3198,1,,80,DC 1500V,Catenary,2024,2024,2027,/,CRRC Puzhen,,,,,,,,"http://chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202405/ff8080818e3221e7018fbe2f4f121dd0.htm
https://mp.weixin.qq.com/s/FBA0OrRi9Mxfy4sUzAduVg",Metro,Chat GPT,,
CN,CR Zhengzhou,CRH-6 Series,5,20,100,500,1,,200,AC 25KV,Catenary,2024,2026,2027,/,CRRC Sifang,CNY,"329,750,000",0.251,1,82767250,4138362.5,165534.5,https://web.archive.org/web/20250101034457/https://hnsggzyjy.henan.gov.cn/jyxx/002001/002001003/20241231/2a2b94bb-cac5-481b-942a-83a809a531e7.html,Commuter/Regional Rail,https://en.wikipedia.org/wiki/China_Railway_CRH6,,
CN,CR Chengdu,CR200JS-G,4,36,309,1236,1,,200,AC 25KV,Catenary,2023,2024,2025,/,CRRC Zhuzhou + CRRC Puzhen,CNY,"311,620,400",0.251,1,78216720.4,2172686.678,63282.13625,https://mp.weixin.qq.com/s/bE4uCzB_EMdLuNn902Y0YQ,Commuter/Regional Rail,https://en.namu.wiki/w/CR200,,
CN,CR,CR200J1-C,21,378,460,9660,1,,200,AC 25KV,Catenary,2023,2024,2025,/,CRRC Zhuzhou + CRRC Puzhen,CNY,"2,798,964,000",0.251,1,702539964,1858571.333,72726.70435,https://mp.weixin.qq.com/s/bE4uCzB_EMdLuNn902Y0YQ,Commuter/Regional Rail,https://en.namu.wiki/w/CR200,,
